Job_ID,Job_Title,Industry,Location,Experience_Required,Education_Required,Skills_Required,Job_Description,Posting_Date
JOB_001,Software Engineer,Technology,Berlin,2+ years,Bachelor's Degree,"Data Analytics, Excel, SQL","Preiswecker is a price comparison portal in Germany, helping thousands of users find the best deals online every day. We are looking for a Software Engineer to join our team and help build our price comparison platform. We are currently offering the following position: Software Engineer - Price comparison portal Responsibilities Design, build, and maintain features for our price comparison platform Develop and optimize data pipelines that process merchant price feeds Work closely with Product and BI to ship reliable, scalable features Write clean, well-tested code and participate in code reviews Monitor and improve performance of our systems Qualifications completed degree in computer science or a related field, or equivalent experience solid experience with backend development and relational databases familiarity with modern software engineering practices (testing, CI/CD, version control) analytical mindset and a strong sense of ownership good German and English Benefits flexible working hours and remote work options flat hierarchies and short decision-making paths modern office in a central location training budget fair salary and growth opportunities We look forward to your application! Preiswecker",1786516800
JOB_002,JavaScript Fullstack Developer (m/f/d),Technology,Germany,2+ years,Bachelor's Degree,"Communication, Teamwork",Find more English Speaking Jobs in Germany on Arbeitnow,1786619345
JOB_003,Innovative Planning Manager (Data Centres/Buildings/High-tech/Infrastructure) - Germany (Hybrid),Technology,Germany,5+ years,Master's Degree,Communication,"Are you a seasoned construction planner that is a bit tired of the standard old-fashioned wayof doing things in the construction industry? Do you get deep satisfaction from making things run more effi ciently using a good dose ofcommon sense and maybe a bit of technology? Have you always cared about the importance of proper planning and the connection betweenthe schedule and the real day-to-day delivery of the job? Have you ever wanted to work a bit more fl exibly but still be hands-on in construction andimproving the industry? Sounds like a dream. Well, it isn’t, it is actually quite real! Read on! ____________________________________________________________ We are Laminar Projects! If you’ve already heard about us, you’re probably reading this because you’re tired of the typical, chaotic ways of doing things in construction. But in case you haven’t, we’re a high-end project management consultancy and tech developer with a focus on upgrading the way construction projects are delivered. Improving construction strengthens the very foundation of human civilisation. ( Check out our short film about it. ) We bring transparency and control to projects through a pragmatic mix of the latest tech, our own processes, and a big dose of common sense. We then take our deep understanding of these projects and we invest heavily into developing the digital solutions that anyone can use to deliver their projects better. ( Check out Shape, our construction management tech, to see what we’re doing.) The core of all this is our true secret sauce: our people. We only recruit the very best, both in capability and personality. We’re deeply focused on designing a new type of organisation that’s optimised for the flourishing of the people in the team first and foremost. People who join us develop fast as a whole person in ways they never imagined. ( Read more about our vision and missions .) This approach has allowed us to grow from just two people in 2017 to over 220 today. We have a stable, repeat client base across infrastructure and complex building projects in the UK and internationally, and we’re still growing fast. Joining us isn’t just some “job”. It’s a transformative educational experience. We challenge you to be your best self in all aspects of life. There are many diverse and interesting challenges available. It’s up to you to guide yourself into whichever areas you’re most interested – we’ll enable it. ( Get to know us better by watching a few more of our videos. ) Core values for a good life A life of human flourishing is all about meaningful relationships and challenging yourself to create a positive impact, so our values reflect the four levels of relationships that each of us has: - Grow yourself – your relationship with yourself - Care about people – your relationship with others around you - Execute to greatness – your relationship with your team - Build civilisation – your relationship with humanity and the world We enshrined our values in our vision: We exist so that everyone in our team can flourish in a high-impact community that: - Connects us with meaningful relationships - Inspires us to develop ourselves to become better humans - Empowers us to pursue our own learning adventures By first doing this, we can achieve the highest levels of value for the world. And enable the achievement of our vision through our two missions: - To fully digitalise the construction of human civilisation - To create a new type of organisation that enables human flourishing while delivering a huge positive impact on society ____________________________________________________________ The Role Purpose of the role You will be enhancing the delivery of the most complex and interesting projects in the world through the power of project planning. You will be a senior leader in our team pushing the discipline to new heights not only within Laminar but within the industry in general. Your Team This role is part of our Project Management Consultancy which focuses on: - Understanding what the real problems of projects are - Implementing the best solutions to those problems - Developing scalable best practices, tools and technology More specifically you will be part of our Project Planning Discipline Team who are industry leaders in the planning of complex construction projects. Your initial leader will be one of our planning discipline directors. Your top 3 objectives 1. To make construction projects deliver to near perfection 2. To create scalable and repeatable solutions to common problems 3. To develop yourself and everyone around you Your top 5 responsibilities 1. Own the plan: Own the project plan for one or more projects and ensure that the project isworking to it eff ectively. Ensure delays are mitigated and managed commercially. 2. Own the outcome: You may not be the project manager ultimately responsible for the resultsbut you are sure as heck responsible for putting in your best eff ort to ensure the project’sunderstanding and focus on the plan no matter how stubborn they are! 3. Report and inform: Provide simple actionable reports to stakeholders at all levels that helpthem deliver their part of the project more effi ciently and eff ectively. 4. Make scalable solutions: Develop scalable and repeatable best practices and tools incollaboration with the team so that long-term impact is achieved. 5. Develop everyone: Maximise the development of your team personally and professionallyand educate our clients to improve as well. Must-Have (The fundamentals) - Mastery : Solid construction project planning capability in all aspects that take into accountstrategic objectives and the broad context you are operating in - Communication : The charisma, infl uence and presence to get construction people to do newthings and take the best approach - Leadership : A proven leader/coach/developer of teams - Impact : A track record of implementing scalable and repeatable solutions in projects that hada signifi cant positive impact Laminar isn’t the place for you if any of the following is true: - You want an easy, chilled-out role without much challenge - You like to be the smartest person in the room - You don’t like continuously receiving honest candid feedback - You prefer to do your own thing rather than work with a team ____________________________________________________________ Frequently Asked Questions What kinds of projects would I be working on? It’s common for people to be exposed to several projects in their first year with us. You’ll work on some of the most complex and interesting environments in the world. We’ve delivered over 100 data centres internationally, many of them fast-tracked and multi-package. Our teams have supported flagship infrastructure programmes like HS2 through integrated planning and digital delivery, contributed to over $30bn in power generation and transmission projects, and played a key role in the development of high-containment labs and R&D campuses for some of the world’s most advanced industrial and life sciences clients. You might find yourself working in sectors such as data centres , infrastructure (including defense, rail, and highways), high tech (such as advanced manufacturing, pharmaceuticals, and semiconductors), or complex building projects . These aren’t hands-off assignments. They’re dynamic, hands-on environments designed for people who want to be challenged. We bring back the lessons from every project to help our team grow and deliver the highest levels of value. ( Check out our case stories .) Who are our clients? Major owners/operators and main contractors with project values between £1m and £1bn+ globally. Where would I be working? One week you might be working from home. The next, you might travel to the site to meet the construction teams and help organise them. Maybe you’ll pop into our London office for a workshop or a beer. Maybe you’ll fly out to exotic (and sometimes not!) locations in Europe or the Middle East to visit clients. It really depends on what you want to get involved in and what fits with your life. How does what I do connect with the long-term impact on the construction industry? You’re tasked with understanding and solving common problems. We don’t want to reinvent the wheel every time, so you’ll be responsible for documenting new solutions and evolving ones we’ve developed. This goes into our knowledge repository, which we’re going to open source to the industry. The knowledge you capture will be used by us to build new products. You’ll constantly test those products in the field, so we can rapidly iterate and improve them for anyone in the industry to use. ____________________________________________________________ Benefits The standard stuff: - Bonus Scheme. As a permanent member of the team, you’ll share in our success. Our annual bonus is designed to reward both the now and the future - with a flexible mix of cash and high-growth equity that you choose. Bonuses are discretionary and based on performance - Professional body membership. One fee covered per year - so you can stay connected to your field and develop your craft The life-changing stuff: - In-house coaching. Regular 1:1 coaching sessions, fully confidential, to help you navigate challenges, build self-awareness, and grow intentionally - professionally and as a human being - Equity upside. As we grow, you grow. Our generous equity scheme is especially powerful for those who stay with us on our journey. You help us build the future - and own a piece of it - Flexible working. Work where it makes sense - most of our team works from home, visiting sites or clients regularly. We care about outcomes, not clock-ins - Relentless development. Our goal is for every year here to be worth five years of development anywhere else. You’ll get a coach, a mentor, honest feedback, and a culture that challenges you to keep levelling up ____________________________________________________________ Important! Applying properly We get thousands of applications so please write us a letter as part of your application explaining: - Why you want to join us - What you’ll bring to the team We aren't a giant, faceless corporation; we really care about the people who want to join our team, so your letter will be read carefully. After that, we’ll reach out to you to schedule a casual conversation to help you get to know us a bit better and tell us a bit about yourself. A couple of technical and personal assessments follow to understand your capability based on our own development matrix. This is to ensure that when you join, you’re starting at the right level of responsibility. Find Jobs in Germany on Arbeitnow",1786619113
JOB_004,Data Analyst (German),Technology,Remote - Germany,0-1 years,Bachelor's Degree,"AI/ML, Data Analytics, Excel, Machine Learning, SQL","As a Data Analyst (German), you will support Lightcast's global data initiatives by analyzing and improving multilingual data quality. Working closely with Linguistics and Engineering teams, you will help develop parsers, evaluate text classifiers, and translate key taxonomies to ensure we deliver high-quality data to customers across global markets. This is a full-time (40 hours per week) independent contractor position for up to 6 months and requires candidates to provide their own laptop and reliable internet access. Major Responsibilities: Analyze and improve the data quality of multilingual text classifiers Partner with Linguistics and Engineering teams to develop parsers across multiple languages Translate taxonomies, including Skills, Titles, and Occupations Analyze and clean data using Excel and other data analysis tools Apply language, data, and text analysis expertise to support high-quality global data Education and Experience: Proficiency in reading and writing German required, including an understanding of language syntax and structural analysis Reliable laptop and internet access required Bachelor's degree in Linguistics, Data Analytics, Natural Language Processing (NLP), or a related field preferred Multilingual candidates strongly preferred, particularly those proficient in Dutch or Turkish Experience with Microsoft Excel, including VLOOKUPs, data cleanup, and functions Knowledge of query languages such as SQL Advanced knowledge of rule writing using regular expressions (RegEx) Knowledge of text analysis or machine learning principles Experience with data analysis using tools such as Excel Ability to perform repetitive, detail-oriented work with accuracy and consistency Ability to follow complex instructions, navigate ambiguity, and work independently Strong sense of urgency, organization, and time management Lightcast is a global leader in labor market insights, with headquarters in Moscow, ID (US) and offices in the United Kingdom, Europe, and India. We work with partners across six continents to help drive economic prosperity and mobility by providing the insights needed to build and develop our people, our institutions and companies, and our communities. Lightcast is proud to be an equal opportunity workplace and does not discriminate on the basis of federally protected statuses. Lightcast has always been, and always will be, committed to diversity of thought and unique perspectives. We seek dynamic professionals from all backgrounds to join our teams, and we encourage our employees to bring their authentic, original, and best selves to work. Find more English Speaking Jobs in Germany on Arbeitnow",1786619093
JOB_005,Entwicklungsingenieur (m/w/d) Biosensorik & Mikrosystemtechnik,Technology,Mannheim,2+ years,Master's Degree,"Communication, Teamwork","Als Entwicklungsingenieur (m/w/d) Biosensorik & Mikrosystemtechnik spielst du eine zentrale Rolle in unserem Team am Standort Mannheim . Mit deinem Fachwissen entwickelst du innovative Technologien im Bereich Biosensorik und Mikrosystemtechnik für moderne medizintechnische Anwendungen. Komm in unser Team Product Solutions und arbeite mit uns an der Medizintechnik der Zukunft! Aufgaben Deine Aufgaben Entwicklung und Optimierung von Biosensoren für medizintechnische Anwendungen Konzeption, Design und Herstellung mikrofluidischer Systeme Planung, Durchführung und Auswertung von Entwicklungs- und Versuchsreihen im Bereich Elektrochemie und Mikrosystemtechnik Analyse, Auswertung und Interpretation komplexer Mess- und Versuchsdaten mit MATLAB, JMP oder vergleichbaren Tools Enge Zusammenarbeit in interdisziplinären Projektteams bei der Entwicklung neuer Technologien und Produkte von der Konzeptphase bis zum Prototypen Qualifikation Dein Profil Hochschulabschluss (Master oder Diplom) in Mikrosystemtechnik, Bio(-chemie) oder einer vergleichbaren Fachrichtung 3 bis 5 Jahre Berufserfahrung im Bereich Forschung und Entwicklung (R&D), idealerweise in den Bereichen Medizintechnik, Diagnostik oder Sensorentwicklung Fundierte Kenntnisse in den Bereichen Biosensorik, Elektrochemie und Mikrofluidik Erfahrung in der CAD-Konstruktion sowie in der Auswertung großer Datenmengen mit MATLAB, JMP oder vergleichbaren Programmen Sehr gute Deutschkenntnisse (mindestens C1) sowie gute Englischkenntnisse (mindestens B2) in Wort und Schrift und eine ausgeprägte Kommunikationsfähigkeit Benefits Unsere Benefits Flexible Arbeitszeiten: Du kannst dir deine Arbeitszeit im Rahmen der Gleitzeit frei einteilen. Hybrides Arbeiten: Wir bieten dir einen modern ausgestatteten Arbeitsplatz und geben dir zusätzlich die Möglichkeit zum Mobilen Arbeiten. Einstieg mit Onboarding Programm: Ein persönlicher Pate begleitet dich beim Einstieg und unterstützt dich dabei, schnell bei EXCO anzukommen. Familienfreundliches Unternehmen: Wir unterstützen dich und deine Familie unter anderem mit Kindergartenbezuschussung und zusätzlichen Leistungen für Kinderkranktage. Attraktive Vergütungsmodelle: Neben einem attraktiven Jahresgehalt profitierst du von zusätzlichen Urlaubstagen, Sonderurlaub bei bestimmten Anlässen sowie einem fairen Ausgleich von Überstunden. Individuelle Weiterentwicklung: Wir investieren in deine fachliche und persönliche Entwicklung mit individuell abgestimmten Schulungen und Weiterbildungen. Firmenevents: Freue dich auf regelmäßige Veranstaltungen und gemeinsame Aktivitäten mit deinen Kolleginnen und Kollegen. Bike-Leasing-Angebote: Nutze attraktive Leasingangebote für Fahrräder und E-Bikes – auch zur privaten Nutzung. Mitarbeitervorteile und betriebliche Sozialleistungen: Profitiere von betrieblicher Altersvorsorge, Unfallversicherung, Corporate Benefits, Gesundheitsangeboten sowie Vergünstigungen bei unseren Kooperationspartnern. Warum du bei EXCO starten solltest EXCO ist ein inhabergeführter technischer Dienstleister für Entwicklung und Qualitätssicherung mit einer mittlerweile 30-jährigen Erfolgs- und Wachstumsgeschichte . Mit über 150 Mitarbeiterinnen und Mitarbeitern an 8 Standorten realisieren wir innovative Projekte für unsere global agierenden Kunden aus den Branchen Medizintechnik, Pharma, Biotechnologie und Chemie. Wir bieten unseren Mitarbeitenden langfristige Berufsperspektiven und die Möglichkeit, gemeinsam mit uns in einer krisensicheren Branche zu wachsen. Weitere Informationen über EXCO als Arbeitgeber und deinen Einstiegs- und Entwicklungsmöglichkeiten findest du auf unserer Karriereseite . Wir freuen uns darauf dich kennenzulernen! Find Jobs in Germany on Arbeitnow",1786618831
JOB_006,Founders Associate Werkstudent:in,Technology,Berlin,2+ years,Bachelor's Degree,"Communication, Teamwork","TrustSpace ist ein schnell wachsendes Cybersecurity-Startup mit Hauptsitz in Berlin. Wir arbeiten mit spannenden Startups & großen Mittelständlern – und lösen alle Probleme rund um Cybersecurity. Wir suchen eine:n motivierte:n Werkstudent:in als Founders Associate mit Fokus Sales Ops , der:die Lust hat, direkt mit unserem Founder-Team zusammenzuarbeiten und operative sowie strategische Themen im Sales-Bereich voranzutreiben. Aufgaben Unterstützung im Bereich Sales Operations und bei der Weiterentwicklung unserer Sales-Prozesse Recherche, Erstellung und Anreicherung von Leadlisten Pflege, Strukturierung und Optimierung unseres CRM-Systems Unterstützung der Founder bei verschiedenen operativen und strategischen Themen Qualifikation Du bist aktuell an einer Hochschule oder Universität eingeschrieben Du arbeitest sehr strukturiert, zuverlässig und eigenständig Du hast ein gutes analytisches Verständnis und arbeitest gerne mit Daten Du verfügst über sehr gute Deutschkenntnisse Benefits Direkter Impact & enge Zusammenarbeit mit den Foundern Viel Verantwortung und Einblicke in unterschiedliche Bereiche eines wachsenden Startups Steile Lernkurve & Option auf langfristige Zusammenarbeit Modernes Office in Berlin Mitte – onsite oder hybrid Junges, dynamisches Team & regelmäßige Teamevents Wir freuen uns auf deine Bewerbung! Find Jobs in Germany on Arbeitnow",1786617032
JOB_007,KI-Manager (m/w/d),Technology,Hamburg,0-1 years,Bachelor's Degree,"Communication, Teamwork","Starte deine Karriere als KI-Manager (m/w/d) – 100 % gefördert mit Bildungsgutschein Künstliche Intelligenz verändert die Arbeitswelt nachhaltig – Unternehmen aller Branchen suchen Fachkräfte, die KI-Lösungen verstehen, bewerten und erfolgreich in Geschäftsprozesse integrieren können. Als zertifizierter Bildungsträger bereitet die AIREADY | AIRDY ZBID Gesellschaft für zertifizierte Bildung in Deutschland UG (haftungsbeschränkt) Teilnehmende praxisnah auf den Beruf des KI-Managers (m/w/d) vor. Du interessierst dich für moderne Technologien, arbeitest strukturiert und möchtest deine beruflichen Perspektiven nachhaltig verbessern? Unsere Weiterbildung vermittelt dir das notwendige Fachwissen für den Einstieg in einen zukunftssicheren Beruf unabhängig davon, ob du Quereinsteiger bist oder bereits erste Erfahrungen im digitalen Umfeld mitbringst. Die Weiterbildung kann bei entsprechender Voraussetzung vollständig über einen Bildungsgutschein der Agentur für Arbeit oder des Jobcenters finanziert werden . Aufgaben DAS WIRST DU LERNEN Wir bereiten dich gezielt auf die Anforderungen moderner Unternehmen im Bereich Künstliche Intelligenz vor: Grundlagen der Künstlichen Intelligenz und Generativen KI Professioneller Einsatz von KI-Tools wie ChatGPT und weiteren modernen Anwendungen Entwicklung effizienter Prompts und KI-gestützter Arbeitsprozesse Automatisierung von Geschäftsprozessen mit KI Analyse von Unternehmensprozessen und Identifikation von KI-Potenzialen Datenschutz, Ethik und rechtliche Grundlagen beim Einsatz von KI Projektmanagement für KI-Projekte Einführung von KI-Lösungen in Unternehmen Optimierung von Arbeitsabläufen durch intelligente Automatisierung Kommunikation zwischen Fachabteilungen, Management und technischen Teams Qualifikation DAS BRINGST DU MIT Vorkenntnisse im Bereich Künstliche Intelligenz sind nicht erforderlich . Wir suchen motivierte Menschen mit Interesse an digitalen Zukunftstechnologien. Interesse an Digitalisierung und Künstlicher Intelligenz Motivation, neue Technologien kennenzulernen Strukturierte und eigenständige Arbeitsweise Kommunikationsfähigkeit und Teamgeist Gute Deutschkenntnisse (mindestens B1/B2) Sicherer Umgang mit dem Computer und Interesse an digitalen Anwendungen Bereitschaft, sich beruflich neu zu orientieren oder weiterzuentwickeln Benefits WIR BIETEN 100 % Förderung möglich über Bildungsgutschein der Agentur für Arbeit oder des Jobcenters 100 % Online-Unterricht: Lerne flexibel von überall in Deutschland Praxisnahe Weiterbildung mit aktuellen KI-Tools und modernen Anwendungen Persönliche Betreuung während der gesamten Weiterbildung Projektmappe zur Präsentation bei Bewerbungen Intensive Vorbereitung auf den Arbeitsmarkt mit Unterstützung beim Berufseinstieg (1:1 Jobcoaching) Aktuelle Inhalte , die sich an den Anforderungen moderner Unternehmen orientieren, unterrichtet von Dozent*innen aus der Praxis Zukunftssichere Qualifizierung in einem der am stärksten wachsenden Berufsfelder FÜR WEN IST DIE WEITERBILDUNG GEEIGNET? Die Weiterbildung richtet sich unter anderem an: Arbeitssuchende Berufsrückkehrer Quereinsteiger Fachkräfte mit Interesse an Digitalisierung Personen, die ihre Karriere im Bereich Künstliche Intelligenz aufbauen möchten DEINE PERSPEKTIVEN Nach erfolgreichem Abschluss eröffnen sich vielfältige Einsatzmöglichkeiten, beispielsweise als: KI-Manager (m/w/d) KI-Projektkoordinator (m/w/d) KI-Consultant (Junior) Digital Transformation Manager (m/w/d) AI Business Specialist (m/w/d) KI-Change Manager (m/w/d) Unternehmen nahezu aller Branchen investieren derzeit in KI-Kompetenzen und suchen qualifizierte Mitarbeitende für die Einführung und den produktiven Einsatz von KI-Lösungen. Find Jobs in Germany on Arbeitnow",1786617032
JOB_008,Selbstständige Futterberater für Hunde & Katzen (m/w/d),Technology,Wolfsburg,2+ years,Bachelor's Degree,"Communication, Teamwork","Mach deine Tierliebe zum Beruf – flexibel, selbstbestimmt und mit echten Entwicklungsmöglichkeiten. Für unser Team GuteTiernahrung in Wolfsburg suchen wir kommunikative Menschen, die sich neben- oder hauptberuflich eine eigene Tätigkeit im Bereich Tierernährung aufbauen möchten. Du interessierst dich für Hunde und Katzen, möchtest Menschen rund um artgerechte Ernährung beraten und gleichzeitig selbst entscheiden, wann und in welchem Umfang du arbeitest? Dann könnte die selbstständige Tätigkeit als Futterberater/in genau zu dir passen. Du startest nicht allein, sondern wirst von Anfang an persönlich durch unser erfahrenes Team begleitet. Aufgaben Beratung von Hunde- und Katzenhaltern rund um artgerechte Ernährung Unterstützung bei der Auswahl einer passenden Tiernahrung Durchführung persönlicher und digitaler Beratungsgespräche Schrittweiser Aufbau eines eigenen Kundenstamms Langfristige und persönliche Betreuung deiner Kunden Empfehlung hochwertiger Produkte, hinter denen du selbst stehen kannst Eigenständige Organisation deiner Beratungstätigkeit Dabei entscheidest du selbst, wann, wo und in welchem Umfang du tätig sein möchtest. Qualifikation Vorkenntnisse in Tierernährung oder Vertrieb sind nicht erforderlich. Das notwendige Fachwissen vermitteln wir dir Schritt für Schritt über kostenlose Schulungen und unsere Online-Akademie. Wichtig sind uns vor allem: Interesse an Hunde- und Katzenernährung Freude am Umgang mit Menschen Kommunikationsfreude und Einfühlungsvermögen Zuverlässigkeit und Eigeninitiative grundlegende Computer- und Smartphonekenntnisse Bereitschaft, Neues zu lernen und Verantwortung zu übernehmen der Wunsch, dir etwas Eigenes aufzubauen Benefits freie und flexible Zeiteinteilung Tätigkeit von zuhause und ortsunabhängig möglich ideal nebenberuflich oder mit Perspektive zum Haupterwerb keine festen Arbeitszeiten keine Mindestumsätze keine Lagerhaltung und keine eigene Auslieferung leistungsabhängige Vergütung und Entwicklungsmöglichkeiten persönliche Begleitung durch ein bestehendes Team kostenlose Schulungen und Weiterbildungen Zugang zu einer umfangreichen Online-Akademie erprobte Materialien und Beratungskonzepte Aufbau eines eigenen Kundenstamms auf Wunsch Perspektive zum Aufbau eines eigenen Teams Du startest bei uns nicht mit einem „Hier sind deine Unterlagen – viel Erfolg“. Wir begleiten dich persönlich bei deinen ersten Schritten und unterstützen dich von den Grundlagen der Tierernährung über erste Beratungsgespräche bis zum Aufbau deiner eigenen Kunden. Ich selbst bin über meine eigenen Tiere zur Tierernährungsberatung gekommen. Was nebenberuflich begann, wurde innerhalb relativ kurzer Zeit zu meiner hauptberuflichen Selbstständigkeit. Genau deshalb weiß ich, wie wichtig ein starkes Team, Austausch und persönliche Begleitung gerade am Anfang sind. Wichtig: Bei der Tätigkeit handelt es sich nicht um ein klassisches Angestelltenverhältnis, sondern um eine selbstständige und erfolgsabhängig vergütete Tätigkeit in Beratung und Vertrieb. Es gibt kein festes Monatsgehalt. Klingt interessant? Dann bewirb dich unverbindlich. Wir lernen uns persönlich kennen und erzählen dir alles zur Tätigkeit, zum Einstieg und zu den Verdienstmöglichkeiten. Wir freuen uns darauf, dich kennenzulernen! Team GuteTiernahrung Find more English Speaking Jobs in Germany on Arbeitnow",1786617032
JOB_009,Growth Marketing Manager (m/w/d) in Vollzeit,Technology,Berlin,2+ years,Bachelor's Degree,Marketing,"marswalk macht Unternehmen Zukunftssicher - indem wir sie für zukünftige Generationen relevant machen. Wir sind halb Agentur, halb Start-up. Gestartet als TikTok Agentur unterstützen wir heute Unternehmen vollumfänglich dabei Relevanz in jungen Zielgruppen zu gewinnen: mit Social Media Services, GEO, Marktforschung, Strategie, Events, E-commerce und umfangreichen in-House Softwarelösungen. Wir transformieren die Agentur geradie in ein Agency as a Software konzept mit dem Ziel zur relevantesten AI-enabled Agentur in Europa zu skalieren. Wir pushen Exzellenz in unserer Arbeit, sind ambitioniert und sorgen dafür, dass jede Person aus unserem jungen Team persönlich über sich hinauswachsen kann. So haben wir es geschafft jedes Jahr um 100% zu wachsen - heute sind wir ein +50-köpfiges Team und das soll erst der Anfang sein 🚀 Du hast Lust mit uns ein europäisches Powerhouse aufzubauen, und zu skalieren wie ein Software Produkt? Aufgaben Verantwortung für die Entwicklung und Umsetzung des marswalk Marketings Aufbau, Optimierung und Skalierung von Multichannel B2B Marketing Aufsetzen und Umsetzen einer agilen Strategie zum generieren von Inbound Kunden Tracking, Analyse und Reporting relevanter KPIs (z. B. ROAS, CAC, LTV) Zusammenarbeit mit Produkt-, Sales- und Customer Success-Teams zur kontinuierlichen Optimierung der Customer Journey Aufbau von Automatisierungs- und Lead-Nurturing-Prozessen Erstellen und koordinieren von Content, alleine oder in Unterstützung durch das Videoteam Problemsolving und ständiges improven Qualifikation Fundierte Erfahrung im Performance Marketing und Growth Management Praktische Erfahrung in der Erstellung und Optimierung von Funnels Analytische Fähigkeiten zur Ableitung von Maßnahmen aus Performance-Daten Erfahrung in der Skalierung von Marketingmaßnahmen Selbstständige, strukturierte Arbeitsweise und Fähigkeit, Verantwortung für Ergebnisse zu übernehmen Wünschenswert: Erfahrung im SaaS-Bereich oder im B2B-Sektor Benefits Wachstum mit marswalk. Wir wachsen rasant - und du wächst mit. Dabei warten ständig neue Chancen und Gestaltungsspielräume auf dich. Deiner Entwicklung sind keine Grenzen gesetzt. Unsere Anforderungen sind hoch - dafür gibt es viel Verantwortung, eine steile Lernkurve und das richtige Umfeld für Wachstum. Du bekommst viel Ownership, kannst eigene Ideen einzubringen und die Entwicklung von großen Social Media Kampagnen aktiv mitzugestalten. Regelmäßige Team-Events, ein offenes Arbeitsumfeld und die Möglichkeit, von den Besten in der Branche zu lernen. Du hast Lust mit uns das genialste Social Media Powerhouse Europas aufzubauen? Dann bewirb dich jetzt und werde Teil unseres Teams! Find Jobs in Germany on Arbeitnow",1786615242
JOB_010,Finance & Controlling Manager (m/w/d),Technology,Hamburg,0-1 years,Bachelor's Degree,"Excel, Finance, Power BI","Wir sind Start to Finish. Kein Startup kann wachsen ohne das richtige Team. Aus diesem Grund unterstützen wir aufstrebende Startups und Growth Companies wie Snocks, SellerX, Formary, Schema M und viele weitere dabei, ihre Schlüsselpositionen mit den richtigen Talenten zu besetzen. Mit über 100 zufriedenen Kunden sind wir die #1 Recruiting Boutique für E-Commerce Startups im deutschsprachigen Raum. Unser Kunde sucht Dich! Das Unternehmen gibt schlechter Qualität einen Korb. Aus einem schwäbischen Familienbetrieb im Werkzeugbau ist eine wachsende E-Commerce-Marke für nachhaltige, hochwertige Produkte „Made in Germany"" entstanden. Über 250.000 verkaufte Körbe später ist das Unternehmen auf klarem Wachstumskurs – mit neuen Produktlinien und neuen Vertriebskanälen. Damit die nächsten Schritte auf einer soliden Zahlenbasis gelingen, sucht das Unternehmen Verstärkung. Deine Rolle Du baust das Controlling von Grund auf – und machst aus Bauchgefühl und Excel-Tabellen echte, datenbasierte Steuerung. Du berichtest direkt an die Geschäftsführung, hast vollen Gestaltungsspielraum und wirst zur zentralen Stelle für alle kaufmännischen Fragen. Aufgaben Controlling aufbauen: KPI-Scorecard und Single Source of Truth etablieren, laufende Runrate, Budgetplanung und rollierender Forecast mit Szenarien KPI-Steuerung: Aufbau eines Dashboards mit den relevanten Kennzahlen (CAC, MER, Werbekostenquote, Deckungsbeitrag nach Werbung) Liquidität & Cash: rollierende 13-Wochen-Liquiditätsplanung und Planung der Vorfinanzierung unserer internationalen Produktion Sortiment & Marge: Schnelldreher und Ladenhüter identifizieren, Bundles kalkulieren, Deckungsbeitrag je Artikel und Variante ermitteln Einkauf & Supply Chain: ERP-Einkauf überwachen, neue Produkte kalkulieren (Landed Cost, Zoll, MOQ), Lieferantenkonditionen nachverhandeln, Make-or-Buy- und Investitionsrechnungen erstellen Kosten & Partner: Zahlungskonditionen, Dienstleister und Agenturen mit Zahlen hinterfragen Sonderprojekte treiben: internationale Produktion, neue Produktlinien und Investitionsentscheidungen kaufmännisch begleiten Qualifikation Kaufmännisches Studium oder Ausbildung (BWL, Finance, Controlling) oder vergleichbar Fundierte Controlling-/Finance-Erfahrung, idealerweise im E-Commerce oder Handel mit physischen Gütern Sehr stark in Zahlen und Analyse; sicher in Excel/Google Sheets und einem BI-Tool (Power BI oder Looker Studio)Erfahrung mit Forecast, Liquiditätsplanung, Deckungsbeitrags-/Margenrechnung und Bestandsdaten Die Fähigkeit, kaufmännische Projekte eigenständig zu treiben Verhandlungssicheres Deutsch, Englisch von Vorteil Hands-on-Mentalität, pragmatisch und mit dem Anspruch, Themen zu Ende zu bringen Benefits 100 % remote – arbeite von überall, ohne Pendeln Ein wachsendes Unternehmen mit kurzen Wegen und schnellen Entscheidungen Viel Gestaltungsspielraum: Du baust Prozesse mit auf, statt sie nur zu verwalten Ein Team, das mitdenkt und anpackt Unbefristete Festanstellung in Vollzeit 🚀 Bereit für den nächsten Step? Dann bewirb dich jetzt - Wir freuen uns auf dich! 💡 Die angegebene Gehaltsrange basiert auf aktuellen Marktdaten und gibt dir eine realistische Orientierung. Am Ende hängt es aber von zwei Dingen ab: deiner tatsächlichen Qualifikation – und vor allem von unserem Kunden, der die finale Entscheidung trifft. Wir sind eine Vermittlung, kein Arbeitgeber – das heißt, wir können das Angebot nicht selbst festlegen. Was wir aber können: dich bestmöglich beraten, dein Profil stark positionieren und gemeinsam mit dir schauen, was drin ist. Find more English Speaking Jobs in Germany on Arbeitnow",1786615241
