Student_ID,Course_ID,Course_Title,Registration_Date,Content_Completion_Percentage,Login_Count,Assessment_Score,Assignment_Submission,Course_Completed,Certificate_Issued,Last_Activity_Date
STU_001,COURSE_002,Professional Pathway Course COURSE_002,2026-01-09,18,16,69,0,No,No,2026-02-01
STU_002,COURSE_003,Professional Pathway Course COURSE_003,2026-01-03,24,20,75,0,No,No,2026-01-16
STU_003,COURSE_004,Professional Pathway Course COURSE_004,2026-02-02,9,7,45,0,No,No,2026-04-30
STU_004,COURSE_005,Professional Pathway Course COURSE_005,2026-02-15,32,25,44,1,No,No,2026-05-05
STU_005,COURSE_006,Professional Pathway Course COURSE_006,2026-02-18,56,50,62,2,No,No,2026-03-20
STU_006,COURSE_007,Professional Pathway Course COURSE_007,2026-01-07,40,30,72,2,No,No,2026-01-28
STU_007,COURSE_008,Professional Pathway Course COURSE_008,2026-02-24,23,12,49,1,No,No,2026-04-19
STU_008,COURSE_009,Professional Pathway Course COURSE_009,2026-01-08,28,10,79,2,No,No,2026-03-07
STU_009,COURSE_010,Professional Pathway Course COURSE_010,2026-02-06,21,21,73,1,No,No,2026-03-12
STU_010,COURSE_011,Professional Pathway Course COURSE_011,2026-01-06,92,80,71,3,Yes,Yes,2026-02-14
STU_011,COURSE_012,Professional Pathway Course COURSE_012,2026-01-18,90,88,94,3,Yes,Yes,2026-03-27
STU_012,COURSE_013,Professional Pathway Course COURSE_013,2026-02-12,12,6,68,1,No,No,2026-03-28
STU_013,COURSE_014,Professional Pathway Course COURSE_014,2026-02-11,2,1,59,0,No,No,2026-03-02
STU_014,COURSE_015,Professional Pathway Course COURSE_015,2026-02-04,19,14,43,1,No,No,2026-03-17
STU_015,COURSE_016,Professional Pathway Course COURSE_016,2026-01-18,88,70,94,4,Yes,Yes,2026-04-09
STU_016,COURSE_017,Professional Pathway Course COURSE_017,2026-01-15,44,40,63,2,No,No,2026-01-29
STU_017,COURSE_018,Professional Pathway Course COURSE_018,2026-02-26,38,30,80,2,No,No,2026-04-17
STU_018,COURSE_019,Professional Pathway Course COURSE_019,2026-01-10,32,13,76,3,No,No,2026-02-22
STU_019,COURSE_020,Professional Pathway Course COURSE_020,2026-01-28,39,15,80,4,No,No,2026-04-22
STU_020,COURSE_021,Professional Pathway Course COURSE_021,2026-01-09,88,50,89,4,Yes,Yes,2026-03-25
STU_021,COURSE_022,Professional Pathway Course COURSE_022,2026-02-10,72,60,66,3,No,No,2026-03-12
STU_022,COURSE_023,Professional Pathway Course COURSE_023,2026-02-08,13,12,74,0,No,No,2026-04-18
STU_023,COURSE_024,Professional Pathway Course COURSE_024,2026-02-13,22,21,62,0,No,No,2026-03-09
STU_024,COURSE_025,Professional Pathway Course COURSE_025,2026-02-18,0,0,55,0,No,No,2026-04-03
STU_025,COURSE_026,Professional Pathway Course COURSE_026,2026-01-08,1,2,48,0,No,No,2026-02-24
STU_026,COURSE_027,Professional Pathway Course COURSE_027,2026-01-01,8,7,52,1,No,No,2026-02-13
STU_027,COURSE_028,Professional Pathway Course COURSE_028,2026-02-25,22,19,65,1,No,No,2026-05-26
STU_028,COURSE_001,Professional Pathway Course COURSE_001,2026-02-02,22,15,58,1,No,No,2026-04-30
STU_029,COURSE_002,Professional Pathway Course COURSE_002,2026-02-28,98,85,78,5,Yes,Yes,2026-03-10
STU_030,COURSE_003,Professional Pathway Course COURSE_003,2026-02-26,84,90,73,2,No,No,2026-04-16
STU_031,COURSE_004,Professional Pathway Course COURSE_004,2026-02-26,88,80,89,3,Yes,Yes,2026-05-19
STU_032,COURSE_005,Professional Pathway Course COURSE_005,2026-02-16,5,5,40,1,No,No,2026-04-29
STU_033,COURSE_006,Professional Pathway Course COURSE_006,2026-02-19,16,19,55,0,No,No,2026-03-17
STU_034,COURSE_007,Professional Pathway Course COURSE_007,2026-03-02,20,22,53,0,No,No,2026-05-21
STU_035,COURSE_008,Professional Pathway Course COURSE_008,2026-02-25,13,11,54,0,No,No,2026-05-23
STU_036,COURSE_009,Professional Pathway Course COURSE_009,2026-03-01,13,12,44,1,No,No,2026-05-19
STU_037,COURSE_010,Professional Pathway Course COURSE_010,2026-01-13,8,6,60,0,No,No,2026-03-03
STU_038,COURSE_011,Professional Pathway Course COURSE_011,2026-01-29,61,54,78,2,No,No,2026-02-23
STU_039,COURSE_012,Professional Pathway Course COURSE_012,2026-01-22,0,0,40,0,No,No,2026-02-03
STU_040,COURSE_013,Professional Pathway Course COURSE_013,2026-02-15,92,90,64,3,Yes,Yes,2026-05-16
STU_041,COURSE_014,Professional Pathway Course COURSE_014,2026-02-27,16,13,40,0,No,No,2026-03-13
STU_042,COURSE_015,Professional Pathway Course COURSE_015,2026-01-14,23,20,77,1,No,No,2026-04-03
STU_043,COURSE_016,Professional Pathway Course COURSE_016,2026-02-06,13,12,56,0,No,No,2026-04-17
STU_044,COURSE_017,Professional Pathway Course COURSE_017,2026-01-07,40,35,65,2,No,No,2026-03-13
STU_045,COURSE_018,Professional Pathway Course COURSE_018,2026-02-13,39,33,63,2,No,No,2026-03-07
