Student_ID,Gender,Education_Level,Degree,Specialisation,Graduation_Year,Technical_Skills,Soft_Skills,Skill_Proficiencies,Projects,Certifications,Assessment_Score,Career_Interest
STU_001,Male,Undergraduate,B.Tech,Information Security,2028,"Cryptography, Cybersecurity, Linux","Adaptability, Time Management","Cryptography:0.74, Cybersecurity:0.71, Linux:0.74, Adaptability:0.62, Time Management:0.68",None,Industry Foundation Certificate,6.77,Cybersecurity Analyst
STU_002,Male,Undergraduate,B.Tech,Information Security,2028,"Cryptography, Network Security","Adaptability, Time Management","Cryptography:0.74, Network Security:0.86, Adaptability:0.76, Time Management:0.65",None,Industry Foundation Certificate,7.03,Cybersecurity Analyst
STU_003,Male,Undergraduate,B.Tech,Information Security,2028,"Cryptography, SQL","Adaptability, Time Management","Cryptography:0.55, SQL:0.56, Adaptability:0.40, Time Management:0.41",None,None,4.87,Cybersecurity Analyst
STU_004,Male,Undergraduate,B.Tech,Information Security,2028,"Network Security, SQL","Adaptability, Time Management","Network Security:0.49, SQL:0.51, Adaptability:0.41, Time Management:0.51",None,None,5.18,Cybersecurity Analyst
STU_005,Male,Undergraduate,B.Tech,Computer Science,2028,"Java, Python, React","Communication, Teamwork","Java:0.70, Python:0.83, React:0.63, Communication:0.63, Teamwork:0.73",Applied Coursework Project,None,8.03,Frontend Developer
STU_006,Female,Undergraduate,B.Tech,Software Engineering,2028,"HTML, Javascript, Linux, REST APIs","Communication, Teamwork","HTML:0.68, Javascript:0.79, Linux:0.74, REST APIs:0.69, Communication:0.65, Teamwork:0.71",None,None,8.39,Backend Developer
STU_007,Male,Undergraduate,B.Sc,Statistics & Analytics,2027,Statistics,"Adaptability, Time Management","Statistics:0.54, Adaptability:0.41, Time Management:0.38",None,None,5.8,Data Analyst
STU_008,Male,Undergraduate,B.Tech,Computer Science,2027,"Java, SQL",Problem Solving,"Java:0.73, SQL:0.82, Problem Solving:0.63",Applied Coursework Project,Industry Foundation Certificate,6.7,Database Administrator
STU_009,Female,Undergraduate,B.Sc,Statistics & Analytics,2027,"Excel, Statistics",Communication,"Excel:0.68, Statistics:0.68, Communication:0.74",None,None,8.08,Data Analyst
STU_010,Female,Undergraduate,B.Tech,Computer Science,2027,"HTML, Javascript, SQL","Communication, Problem Solving, Teamwork","HTML:0.78, Javascript:0.81, SQL:0.71, Communication:0.69, Problem Solving:0.69, Teamwork:0.59",None,Industry Foundation Certificate,7.3,Full-Stack Developer
STU_011,Male,Undergraduate,B.Tech,Artificial Intelligence,2027,"Python, SQL, Statistics","Communication, Problem Solving, Teamwork","Python:0.96, SQL:0.98, Statistics:0.98, Communication:0.87, Problem Solving:0.87, Teamwork:0.88",Advanced Capstone Portfolio,Professional Industry Certification,8.59,AI Engineer
STU_012,Male,Undergraduate,B.Tech,Computer Science,2027,"Linux, Python","Adaptability, Time Management","Linux:0.66, Python:0.74, Adaptability:0.60, Time Management:0.73",Applied Coursework Project,None,7.14,Database Administrator
STU_013,Male,Undergraduate,B.Tech,Information Security,2028,Linux,"Adaptability, Time Management","Linux:0.60, Adaptability:0.50, Time Management:0.38",None,None,5.74,Cybersecurity Analyst
STU_014,Male,Undergraduate,B.Tech,Computer Science,2027,"HTML, SQL","Adaptability, Time Management","HTML:0.42, SQL:0.59, Adaptability:0.41, Time Management:0.48",None,None,6.14,Database Administrator
STU_015,Female,Undergraduate,B.Tech,Artificial Intelligence,2027,"Machine Learning, Python, SQL, Statistics","Communication, Problem Solving, Teamwork","Machine Learning:0.96, Python:0.98, SQL:0.95, Statistics:0.98, Communication:0.95, Problem Solving:0.86, Teamwork:0.91",Advanced Capstone Portfolio,Professional Industry Certification,9.25,AI Engineer
STU_016,Female,Undergraduate,B.Tech,Information Security,2027,"Cryptography, SQL",Communication,"Cryptography:0.73, SQL:0.70, Communication:0.73",Applied Coursework Project,None,7.49,Cybersecurity Analyst
STU_017,Male,Undergraduate,B.Tech,Computer Science,2027,"HTML, Python","Communication, Teamwork","HTML:0.91, Python:0.78, Communication:0.72, Teamwork:0.70",None,Industry Foundation Certificate,7.57,Frontend Developer
STU_018,Male,Undergraduate,B.Sc,Data Science,2027,"Machine Learning, Statistics","Communication, Problem Solving, Teamwork","Machine Learning:0.81, Statistics:0.80, Communication:0.74, Problem Solving:0.73, Teamwork:0.60",Applied Coursework Project,Industry Foundation Certificate,7.0,Data Scientist
STU_019,Female,Undergraduate,B.Tech,Computer Science,2027,"HTML, Java, Python, React","Communication, Problem Solving, Teamwork","HTML:0.82, Java:0.81, Python:0.78, React:0.66, Communication:0.76, Problem Solving:0.77, Teamwork:0.60",None,Industry Foundation Certificate,7.71,Full-Stack Developer
STU_020,Male,Undergraduate,B.Tech,Computer Science,2027,"Java, Javascript, Linux, Python, React, SQL","Communication, Problem Solving, Teamwork","Java:0.98, Javascript:0.91, Linux:0.98, Python:0.98, React:0.98, SQL:0.98, Communication:0.95, Problem Solving:0.90, Teamwork:0.88",Advanced Capstone Portfolio,Professional Industry Certification,9.7,Full-Stack Developer
STU_021,Female,Undergraduate,B.Tech,Computer Science,2027,"Python, SQL","Communication, Problem Solving, Teamwork","Python:0.74, SQL:0.76, Communication:0.61, Problem Solving:0.76, Teamwork:0.62",None,None,7.26,Frontend Developer
STU_022,Female,Undergraduate,B.Tech,Information Security,2027,"Linux, Network Security, SQL",Communication,"Linux:0.65, Network Security:0.75, SQL:0.79, Communication:0.72",Applied Coursework Project,None,7.33,Cybersecurity Analyst
STU_023,Male,Undergraduate,B.Tech,Information Security,2027,"Cryptography, Linux, Network Security",Communication,"Cryptography:0.82, Linux:0.84, Network Security:0.85, Communication:0.64",Applied Coursework Project,Industry Foundation Certificate,8.25,Cybersecurity Analyst
STU_024,Male,Undergraduate,B.Tech,Information Security,2027,"Cryptography, SQL",Communication,"Cryptography:0.50, SQL:0.53, Communication:0.44",None,None,6.08,Cybersecurity Analyst
STU_025,Male,Undergraduate,B.Tech,Information Security,2027,SQL,Communication,"SQL:0.47, Communication:0.47",None,None,6.01,Cybersecurity Analyst
STU_026,Male,Undergraduate,B.Tech,Information Security,2027,Network Security,"Adaptability, Time Management","Network Security:0.42, Adaptability:0.52, Time Management:0.46",None,None,5.78,Cybersecurity Analyst
STU_027,Male,Undergraduate,B.Tech,Information Security,2027,"Network Security, SQL","Adaptability, Time Management","Network Security:0.75, SQL:0.80, Adaptability:0.61, Time Management:0.67",Applied Coursework Project,None,7.59,Cybersecurity Analyst
STU_028,Male,Undergraduate,BBA,Digital Marketing,2027,Social Media Analytics,"Adaptability, Time Management","Social Media Analytics:0.55, Adaptability:0.37, Time Management:0.43",None,None,5.48,Digital Marketing Specialist
STU_029,Male,Undergraduate,B.Sc,Data Analytics,2027,"Python, SQL, Tableau","Communication, Problem Solving, Teamwork","Python:0.85, SQL:0.84, Tableau:0.79, Communication:0.65, Problem Solving:0.75, Teamwork:0.61",Applied Coursework Project,Industry Foundation Certificate,7.54,Data Analyst
STU_030,Female,Undergraduate,B.Des,User Experience Design,2027,"CSS, Wireframing","Adaptability, Time Management","CSS:0.68, Wireframing:0.74, Adaptability:0.77, Time Management:0.60",None,None,7.84,UI/UX Designer
STU_031,Female,Undergraduate,BBA,Product Management,2027,"Agile/Scrum, Communication, Product Strategy, User Research","Communication, Teamwork","Agile/Scrum:0.98, Communication:0.98, Product Strategy:0.98, User Research:0.98, Communication:0.91, Teamwork:0.96",Advanced Capstone Portfolio,Professional Industry Certification,9.61,Product Manager
STU_032,Male,Undergraduate,B.Tech,Information Security,2027,Linux,"Adaptability, Time Management","Linux:0.44, Adaptability:0.41, Time Management:0.43",None,None,5.72,Cybersecurity Analyst
STU_033,Female,Undergraduate,B.Tech,Information Security,2028,"Network Security, SQL",Communication,"Network Security:0.51, SQL:0.45, Communication:0.40",None,None,5.93,Cybersecurity Analyst
STU_034,Male,Undergraduate,BBA,Digital Marketing,2028,Social Media Analytics,"Adaptability, Time Management","Social Media Analytics:0.41, Adaptability:0.36, Time Management:0.35",None,None,4.58,Digital Marketing Specialist
STU_035,Male,Undergraduate,B.Sc,Data Analytics,2027,SQL,"Adaptability, Time Management","SQL:0.44, Adaptability:0.47, Time Management:0.37",None,None,5.38,Data Analyst
STU_036,Male,Undergraduate,BBA,Digital Marketing,2027,SEO,"Adaptability, Time Management","SEO:0.51, Adaptability:0.40, Time Management:0.49",None,None,4.71,Digital Marketing Specialist
STU_037,Male,Undergraduate,B.Sc,Data Analytics,2027,Excel,"Adaptability, Time Management","Excel:0.52, Adaptability:0.47, Time Management:0.49",None,None,5.62,Data Analyst
STU_038,Female,Undergraduate,B.Tech,Software Engineering,2027,"HTML, Javascript","Communication, Teamwork","HTML:0.67, Javascript:0.76, Communication:0.70, Teamwork:0.65",Applied Coursework Project,None,6.63,Backend Developer
STU_039,Male,Undergraduate,B.Tech,Information Security,2027,"Network Security, SQL","Adaptability, Time Management","Network Security:0.45, SQL:0.56, Adaptability:0.42, Time Management:0.47",None,None,5.33,Cybersecurity Analyst
STU_040,Female,Undergraduate,B.Sc,Business Analytics,2027,"Business Analytics, Excel, SQL","Communication, Problem Solving, Teamwork","Business Analytics:0.79, Excel:0.86, SQL:0.80, Communication:0.69, Problem Solving:0.67, Teamwork:0.72",None,Industry Foundation Certificate,6.85,BI Developer
STU_041,Female,Undergraduate,B.Tech,Information Security,2027,Cryptography,Communication,"Cryptography:0.51, Communication:0.43",None,None,4.92,Cybersecurity Analyst
STU_042,Male,Undergraduate,B.Tech,Information Security,2027,"Cryptography, Network Security, SQL",Communication,"Cryptography:0.79, Network Security:0.75, SQL:0.76, Communication:0.69",None,None,7.01,Cybersecurity Analyst
STU_043,Male,Postgraduate,B.Tech,Information Security,2026,"Linux, SQL","Adaptability, Time Management","Linux:0.40, SQL:0.47, Adaptability:0.44, Time Management:0.46",None,None,5.06,Cybersecurity Analyst
STU_044,Female,Postgraduate,B.Tech,Information Security,2026,"Linux, SQL",Communication,"Linux:0.82, SQL:0.80, Communication:0.61",Applied Coursework Project,None,7.59,Cybersecurity Analyst
STU_045,Female,Postgraduate,B.Tech,Information Security,2026,"Linux, Network Security","Communication, Teamwork","Linux:0.79, Network Security:0.71, Communication:0.69, Teamwork:0.69",None,None,8.3,Cybersecurity Analyst
STU_046,Male,Undergraduate,BBA,Business Analytics,2027,"Power BI, SQL",Communication,"Power BI:0.56, SQL:0.46, Communication:0.38",None,None,5.68,Business Analyst
STU_047,Male,Undergraduate,BBA,Marketing Analytics,2028,Excel,"Adaptability, Time Management","Excel:0.46, Adaptability:0.38, Time Management:0.38",None,None,4.8,Marketing Analyst
STU_048,Female,Postgraduate,BBA,Product Management,2026,"Agile/Scrum, Communication, Product Strategy, User Research","Communication, Problem Solving, Teamwork","Agile/Scrum:0.98, Communication:0.98, Product Strategy:0.98, User Research:0.98, Communication:0.92, Problem Solving:0.96, Teamwork:0.90",Advanced Capstone Portfolio,Professional Industry Certification,9.31,Product Manager
STU_049,Female,Postgraduate,BBA,Product Management,2026,"Agile/Scrum, Communication, Product Strategy, Roadmapping, User Research",Communication,"Agile/Scrum:0.98, Communication:0.95, Product Strategy:0.98, Roadmapping:0.96, User Research:0.98, Communication:0.86",Advanced Capstone Portfolio,Professional Industry Certification,8.8,Product Manager
STU_050,Female,Postgraduate,BBA,Product Management,2026,"Communication, User Research",Communication,"Communication:0.65, User Research:0.68, Communication:0.74",Applied Coursework Project,None,7.44,Product Manager
STU_051,Female,Postgraduate,BBA,Product Management,2026,Communication,Communication,"Communication:0.51, Communication:0.42",None,None,5.29,Product Manager
STU_052,Male,Postgraduate,BBA,Digital Marketing,2026,Digital Marketing,"Communication, Teamwork","Digital Marketing:0.48, Communication:0.36, Teamwork:0.51",None,None,5.01,Digital Marketing Specialist
STU_053,Female,Postgraduate,B.Des,User Experience Design,2026,"CSS, Wireframing","Problem Solving, Teamwork","CSS:0.83, Wireframing:0.77, Problem Solving:0.68, Teamwork:0.68",None,Industry Foundation Certificate,7.55,UI/UX Designer
