student_id,source_dataset,cognitive_rating,coding_technical_rating,experiential_exposure,communication_soft_skills,self_learning_capability,team_collaboration,track_technical,target_role,canonical_domain
STU_001,EduPathAI_Core,6.77,6.98,4.0,5.0,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_002,EduPathAI_Core,7.03,7.525,4.0,5.0,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_003,EduPathAI_Core,4.87,4.800000000000001,4.0,5.0,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_004,EduPathAI_Core,5.18,4.8,5.2,5.0,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_005,EduPathAI_Core,8.03,7.039999999999999,6.4,7.5,0,1,1,Frontend Developer,Software & Web Development
STU_006,EduPathAI_Core,8.39,7.1,6.4,7.5,0,1,1,Backend Developer,Software & Web Development
STU_007,EduPathAI_Core,5.8,4.433333333333334,5.2,5.0,0,0,1,Data Analyst,Data Science & AI
STU_008,EduPathAI_Core,6.7,7.266666666666666,6.4,5.0,0,0,1,Database Administrator,Cybersecurity & Cloud
STU_009,EduPathAI_Core,8.08,7.000000000000001,5.2,7.5,0,0,1,Data Analyst,Data Science & AI
STU_010,EduPathAI_Core,7.3,7.116666666666665,7.6,7.5,1,1,1,Full-Stack Developer,Software & Web Development
STU_011,EduPathAI_Core,8.59,9.233333333333334,7.6,7.5,1,1,1,AI Engineer,Data Science & AI
STU_012,EduPathAI_Core,7.14,6.825,5.2,5.0,0,0,1,Database Administrator,Cybersecurity & Cloud
STU_013,EduPathAI_Core,5.74,4.933333333333334,4.0,5.0,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_014,EduPathAI_Core,6.14,4.75,5.2,5.0,0,0,1,Database Administrator,Cybersecurity & Cloud
STU_015,EduPathAI_Core,9.25,9.414285714285715,8.8,7.5,1,1,1,AI Engineer,Data Science & AI
STU_016,EduPathAI_Core,7.49,7.200000000000001,6.4,7.5,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_017,EduPathAI_Core,7.57,7.775,6.4,7.5,0,1,1,Frontend Developer,Software & Web Development
STU_018,EduPathAI_Core,7.0,7.359999999999999,7.6,7.5,0,1,1,Data Scientist,Data Science & AI
STU_019,EduPathAI_Core,7.71,7.428571428571428,8.8,7.5,0,1,1,Full-Stack Developer,Software & Web Development
STU_020,EduPathAI_Core,9.7,9.48888888888889,8.8,7.5,1,1,1,Full-Stack Developer,Software & Web Development
STU_021,EduPathAI_Core,7.26,6.98,7.6,7.5,0,1,1,Frontend Developer,Software & Web Development
STU_022,EduPathAI_Core,7.33,7.275,4.0,7.5,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_023,EduPathAI_Core,8.25,7.875,4.0,7.5,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_024,EduPathAI_Core,6.08,4.9,4.0,7.5,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_025,EduPathAI_Core,6.01,4.699999999999999,4.0,7.5,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_026,EduPathAI_Core,5.78,4.666666666666666,5.2,5.0,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_027,EduPathAI_Core,7.59,7.075,5.2,5.0,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_028,EduPathAI_Core,5.48,4.5,5.2,5.0,0,0,0,Digital Marketing Specialist,Business & Analytics
STU_029,EduPathAI_Core,7.54,7.483333333333334,10.0,7.5,1,1,1,Data Analyst,Data Science & AI
STU_030,EduPathAI_Core,7.84,6.975,6.4,5.0,1,0,0,UI/UX Designer,UI/UX & Product Design
STU_031,EduPathAI_Core,9.61,9.65,7.6,7.5,1,1,0,Product Manager,UI/UX & Product Design
STU_032,EduPathAI_Core,5.72,4.266666666666667,5.2,5.0,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_033,EduPathAI_Core,5.93,4.533333333333333,4.0,7.5,0,0,1,Cybersecurity Analyst,Cybersecurity & Cloud
STU_034,EduPathAI_Core,4.58,3.7333333333333334,4.0,5.0,0,0,0,Digital Marketing Specialist,Business & Analytics
STU_035,EduPathAI_Core,5.38,4.266666666666666,4.0,5.0,0,0,1,Data Analyst,Data Science & AI
STU_036,EduPathAI_Core,4.71,4.666666666666666,5.2,5.0,0,0,0,Digital Marketing Specialist,Business & Analytics
STU_037,EduPathAI_Core,5.62,4.933333333333334,4.0,5.0,0,0,1,Data Analyst,Data Science & AI
STU_038,EduPathAI_Core,6.63,6.949999999999999,6.4,7.5,0,1,1,Backend Developer,Software & Web Development
